idx	decision_id	segments	status	failures
38	tnmd-2026-in-re-bfi-waste-systems	5	FAIL	seg1 matched 10/54 best 0.636 on july 30 2026 the court ordered several of plaintiff's the offender citation omitted absent a motion from attorn | seg2 matched 2/39 best 0.625 ringger and limited resources chasing false legal authority must has confirmed the court's suspicion that a major  | seg3 matched 9/41 best 0.698 the court orders1 as follows easier a rule 11 violation becomes when using it submitting false legal authority by  | seg4 matched 13/47 best 0.832 this is where ringger fell short with quotations that did not exist and end of document with legal citations that  | seg5 matched 5/40 best 0.687 attorney ringger has violated rule 112 and is hereby requires either willfulness or a failure by multiple publicly
39	nvd-2026-kim-elizabeth-harwell-v-westcare-nevada	1	FAIL	seg1 matched 113/338 best 0.960 extends to attorneys and pro se litigants alike frcp 11 b 7 however the complaint is unclear about which there has
40	nmd-2026-sample-v-hilton-worldwide-holdings	1	FAIL	seg1 matched 71/194 best 0.967 none of these grounds identifies a part of although courts make some allowances for a pro se plaintiff's failure t
41	pamd-2026-marble-v-o-malley	1	FAIL	seg1 matched 16/117 best 0.953 see kay v ehrler 499 u s 432 438 1991 in this variety of hallucination the al model appears to have provided the p
42	iowactapp-2026-state-of-iowa-ex-rel-j-g-v-mynesia-a-anderson	2	FAIL	seg1 matched 83/161 best 0.981 her briefs also cited two iowa cases that do not exist the reporter citations provided are for other states and ca | seg2 matched 72/122 best 0.914 we have in the recent past stricken o ending portions of briefs and petitions containing a few ai generated citati
43	ilnd-2026-hatch-v-college-ave-student-loans	1	OK	
44	dcd-2026-andre-lamont-goddard-jr-v-city-university-of-seattle	1	OK	
45	ca10-2026-ryan-michael-jarvis-v-county-of-teton-wyoming	3	OK	
46	fladistctapp4-2026-innocent-v-meraki-installers	1	OK	
47	azctapp-2026-boettcher-v-boettcher	2	FAIL	seg2 matched 1/128 best 0.826 in the superior court and here father included the following purported quote the court cannot hold a party in cont
48	vaed-2026-burnley-v-valentin	2	FAIL	seg1 matched 24/127 best 0.938 walburn maintains that burnley using the pseudonym tyrone jackson materially breached the walburn burnley settleme
49	vaeb-2026-in-re-mahar	2	OK	
50	ncwd-2026-ebony-sherisse-lucas-v-charles-w-scharf	1	FAIL	seg1 matched 323/456 best 0.976 court 1 10 lindner v countrywide hom loans inc 447 f supp 2d 999 d minn 2006 ai can be a powerful tool for pro se 
