idx	decision_id	match	passage_chars	text_idx	window_start
24	tnwd-2026-reaves-law-firm-pllc-v-baker-donelson-bearman	exact	960	1795	specifically, defendants' response to rlf's partial motion to dismiss asserts that plaintiff relies on cases that do not stand for the propositions for which th
25	cacd-2026-tqj-v-jennifer-esquivel	0.804	643	5113	parently even an awareness that they were present in the what steps to take with respect to the motion and with respect brief—is equally troubling; it suggests 
26	insd-2026-jana-james-v-national-board-of	exact	1152	11263	"stating that ms. james would not receive in the u.s. navy. id. at 656. the seventh circuit held that accommodations on the comat exam because nbome ""[plaintiff'"
27	nysupct-2026-doe-j-v-trustees-of-columbia-university	exact	840	4691	for this reason, the court need not reach the other dismissal arguments made, including those regarding service. a caution on ai hallucinations as a postscript 
28	nced-2026-curry-v-capital-one-auto-finance	0.667	1111	5333	o the first proposed amended complaint, denying leave to amend as futile) (citations to proposed amended complaint omitted). for the same reasons as articulated
29	ga-2026-hannah-renee-payne-v-state	exact	1068	2084	1. on march 20, 2026, after oral argument in this case, this court entered an order directing counsel for the state to file a supplemental brief explaining, amo
30	iowactapp-2026-christ-apostolic-temple-dwight-reed-and-jordan	0.968	1165	2037	t aside, and only sinegal appeals. 2 sinegal's appellate and reply briefs contain citations to cases that do not exist or do not stand for the proposition for w
31	nmd-2026-neri-v-board-of-education-for-albuquerque-public-schools	0.662	681	2787	rmation, and belief, formed after an inquiry reasonable under the circumstances . . . the claims, defenses, and other legal contentions are warranted by existin
32	ned-2026-kadlaskar-v-uscis	0.617	1748	13898	$255.03/ hour = $10,749.51 + $4 filing fee = $11,154.51). 2 a case of a similar name with a different citation, peterson v. u.s. railroad retirement board, 7 f.
33	wawd-2026-ledoux-v-outliers-summary-judgment	0.464	1420	23359	ithdrew the portions of dr. holguin's opinion containing these citations, the court did not address them when it ordered plaintiff's counsel to show cause—and u
34	asbca-2026-endure-industries-v-defense-health-agency	exact	1155	45556	"– have a tendency to hallucinate non-existent cases. sanders v. united states, 1 fed. cl. 163, 169 (2025) (""it is no secret that generative ai programs are know"
35	utd-2026-regan-wilkes-v-canyons-school-district	0.667	840	1727	al case names, but that when the writing was put into the ai software to polish the writing, it must have, case 2:25-cv-00218-cmr document filed 05/04/2 pageid.
36	txsd-2026-kenneth-hawkins-v-i-c-system	exact	1439	48439	"""by presenting to the court a ... written motion ... an attorney or unrepresented party certifies that to the best of that person's knowledge, information, and "
37	kyctapp-2026-pamela-blair-v-sanctuary-bluff-homeowners-association	exact	1204	28953	principles. [goodyear tire & rubber co. v. thompson, 1 to dismiss the appeal as blair's latest brief again contained s.w.3d 575, 581 (ky. 2000).] hallucinated p
38	tnmd-2026-in-re-bfi-waste-systems	0.402	1344	6851	to (e.d. mich. sept. 19, 2025) (collecting cases). court submissions can account for every factual assertion and every legal argument that they file. see the co
39	nvd-2026-kim-elizabeth-harwell-v-westcare-nevada	0.667	1953	23673	"ts the party certifies ""that to the best of the [party's] knowledge, who foreseeably could cause her harm. she further alleges information and belief, formed af"
40	nmd-2026-sample-v-hilton-worldwide-holdings	0.667	1227	10880	al relief to already filed motions because the court has not yet ruled on the previously filed motions may subject plaintiffs to rule sanctions for filing a doc
41	pamd-2026-marble-v-o-malley	0.663	742	938	"anized briefing format regarding ""attorney-equivalent compensation."" marble (or his al-tool) appears to have invented a legal doctrine, which the court has not "
42	iowactapp-2026-state-of-iowa-ex-rel-j-g-v-mynesia-a-anderson	0.719	1800	1095	"provided are for other states and cases unrelated to the cited propositions. we have addressed this phenomenon—problematic ﬁlings apparently ""written"" by artiﬁc"
43	ilnd-2026-hatch-v-college-ave-student-loans	0.901	2741	11014	"negligent violation of u.s.c. § question regarding the application of section 523(a)(8)(a) 1681i(a)), iv (willful violation of u.s.c. § 1681i(a)), (i)"". mader v"
44	dcd-2026-andre-lamont-goddard-jr-v-city-university-of-seattle	exact	1313	29066	includes citation to several cases that do not appear to exist. 8 the cases bear the stamp of having been invented by artificial intelligence, given that they r
45	ca10-2026-ryan-michael-jarvis-v-county-of-teton-wyoming	0.662	663	18607	, plaintiff - appellant, v. county..., not reported in fed.... 3 mr. jarvis contends that the unsworn witness testimony the officer defendants collected was ins
46	fladistctapp4-2026-innocent-v-meraki-installers	0.904	1014	693	ues. we write briefly, however, to address concerns regarding multiple quotations from the trial transcript contained in appellant's initial brief that do not a
47	azctapp-2026-boettcher-v-boettcher	0.494	962	7875	 ball v. ball, 2 ariz. 273, 276, ¶ 7 n.2 (app. 2020). father thus cannot avoid enforcement through the court's contempt authority of the terms of the parenting 
48	vaed-2026-burnley-v-valentin	0.567	1201	16258	" initiated an internal inquiry. (ecf no. 1 at 3.) walburn maintains that burnley, using the pseudonym ""tyrone jackson,"" materially breached the walburn-burnley "
49	vaeb-2026-in-re-mahar	0.582	1162	76788	of this court's jurisdiction in any of their pleadings prior to the issuance of the order to show cause. 1 the chapter trustee declined to file a responsive bri
50	ncwd-2026-ebony-sherisse-lucas-v-charles-w-scharf	0.948	2714	4082	hat waste the court's time and resources and mislead the court.1 10. lindner v. countrywide hom loans, inc., 4 f. supp. 2d 999 (d. minn. 2006) ai can be a power
